title,city,country_code,marker_icon,workplace_type,experience_level,latitude,longitude,published_at,remote_interview,display_offer,employment_type,salary_from,salary_to,salary_currency,skills_one,skills_two,skills_three
Senior Software Engineer C++,Gdynia,PL,c,partly_remote,senior,54.4927717,18.5330067,2023-04-06,TRUE,TRUE,permanent,14000,19000,pln,Python,English,C++
Data Scientist (Remote),Warszawa,PL,data,remote,mid,52.2316937,20.9779246,2023-04-06,TRUE,TRUE,b2b,15120,21840,pln,SQL,Machine Learning,Python
PHP Developer - Symfony,Warszawa,PL,php,remote,senior,52.2409417,21.0000448,2023-04-06,TRUE,TRUE,b2b,10000,15000,pln,Bootstrap,Symfony,PHP
Senior .NET Developer,Wrocław,PL,net,remote,senior,51.1011989,17.0410141,2023-04-06,TRUE,TRUE,b2b,20160,25200,pln,WinForms,.NET C#,English
Senior Full Stack Developer with Python,Warszawa,PL,python,partly_remote,senior,52.2283939,20.9976441,2023-04-06,TRUE,TRUE,permanent,17000,25000,pln,jinja,Conda,Python
Fullstack Java Developer with React,Warszawa,PL,java,remote,mid,52.2303847,21.001508,2023-04-06,TRUE,TRUE,b2b,20000,25000,pln,PostgreSQL,React,Java
UX/UI Designer,Poznań,PL,ux,remote,mid,52.4090523,16.9265397,2023-04-06,TRUE,TRUE,b2b,8000,14000,pln,UI Design,wireframing,Figma
IT Infrastructure Engineer,Kraków,PL,devops,remote,mid,50.0207364,19.896896,2023-04-06,TRUE,TRUE,b2b,15000,20000,pln,CI/CD tools,Linux/Windows,DevOps
.NET Developer,Warszawa,PL,net,remote,mid,52.2355943,20.9980939,2023-04-06,TRUE,TRUE,b2b,15000,20000,pln,MongoDB,MS SQL Server,ASP.NET MVC
Analityk biznesowo-systemowy,Warszawa,PL,analytics,remote,mid,52.2088989,20.9464374,2023-04-06,TRUE,TRUE,b2b,15000,20000,pln,BPMN,UML,SQL
PHP Developer,Katowice,PL,php,partly_remote,mid,50.2510311,19.0502174,2023-04-06,TRUE,TRUE,b2b,10000,13000,pln,Doctrine,Symfony,PHP
Scala Developer,Warszawa,PL,scala,remote,mid,52.2296756,21.0122287,2023-04-06,TRUE,TRUE,b2b,18000,26000,pln,Java,AWS,Scala
DevOps Engineer,Warszawa,PL,devops,partly_remote,mid,52.2464744,21.0681259,2023-04-06,TRUE,TRUE,b2b,30000,32000,pln,MS SQL Server,Azure SQL,Azure DevOps
Senior .NET Developer,Wrocław,PL,net,partly_remote,senior,51.113583,16.9774479,2023-04-06,TRUE,TRUE,permanent,15000,20000,pln,ASP.NET,C#,.Net Framework
Java Developer,Warszawa,PL,java,partly_remote,senior,52.2232087,20.9810315,2023-04-06,TRUE,TRUE,b2b,18480,28560,pln,Hibernate,Spring,Java
Senior iOS Developer,Poznań,PL,mobile,remote,senior,52.4055048,16.9317272,2023-04-06,TRUE,TRUE,b2b,18000,23000,pln,Swift,XCode,iOS
Vue.js Developer (Remote),Warszawa,PL,javascript,remote,senior,52.2302091,21.0113922,2023-04-06,TRUE,TRUE,b2b,16000,21000,pln,GraphQL,TypeScript,Vue.js
IT Support Engineer,Kraków,PL,support,partly_remote,mid,50.0646501,19.9449799,2023-04-06,TRUE,TRUE,b2b,18500,25000,pln,Git,Linux,Java
Principal/Team Leader C++ Software Engineer,Łódź,PL,c,remote,senior,51.778506,19.4527995,2023-04-06,TRUE,TRUE,b2b,24000,34000,pln,CMake,Linux,C++
Senior QA Automat Engineer,Gliwice,PL,testing,remote,senior,50.2912092,18.7055382,2023-04-06,TRUE,TRUE,b2b,20160,25200,pln,Microservice Architecture,API Testing,Java/Kotlin
"Developer - PHP, HTML5, CCS3, JavaScript",Wrocław,PL,php,partly_remote,mid,51.1082684,17.0352348,2023-04-06,TRUE,TRUE,b2b,10000,15000,pln,CSS3,HTML5,REST API
Senior AWS Cloud Software Engineer,Wrocław,PL,java,partly_remote,senior,51.1115288,17.0618988,2023-04-06,TRUE,TRUE,b2b,23000,32000,pln,Java,AWS Cloud Native,AWS
Senior MySQL Database Administration,Wrocław,PL,data,remote,senior,51.0906603,17.0283029,2023-04-06,TRUE,TRUE,b2b,30000,40000,pln,SQL,DBMS,MySQL
Mid MySQL Database Administration,Wrocław,PL,data,remote,mid,51.0906603,17.0283029,2023-04-06,TRUE,TRUE,b2b,23000,33000,pln,SQL,DBMS,MySQL
Programista Delphi,Kraków,PL,other,remote,mid,50.0558188,19.9252835,2023-04-06,TRUE,TRUE,b2b,11000,14000,pln,Git,SQL,Delphi
👉UI Designer,Wrocław,PL,ux,remote,senior,51.0975833,17.0349076,2023-04-06,TRUE,TRUE,b2b,10000,19000,pln,Sketch,Product Designer,UI Design
Azure Infrastructure Architect,Łódź,PL,architecture,remote,senior,51.7592485,19.4559833,2023-04-06,TRUE,TRUE,b2b,27000,35000,pln,Azure DevOps,Microservice Architecture,Microsoft Azure Cloud
Inżynier ds. bezpieczeństwa IT (Splunk),Kraków,PL,security,partly_remote,mid,50.0691216,19.967995,2023-04-06,TRUE,TRUE,b2b,12000,15000,pln,Windows,Linux,Splunk Enterprise
Java Developer,Warszawa,PL,java,remote,mid,52.2296756,21.0122287,2023-04-06,TRUE,TRUE,b2b,15000,24000,pln,JPA,Hibernate,Spring
Backend .NET Developer (remote),Warszawa,PL,net,remote,mid,52.1947869,20.9316953,2023-04-06,TRUE,TRUE,permanent,13000,20000,pln,Docker,ASP.NET Core,C#
Android Mobile Developer,Warszawa,PL,mobile,remote,mid,52.2302091,21.0113922,2023-04-06,TRUE,TRUE,b2b,13500,21800,pln,Android Studio,Kotlin,Android
Scrum Master,Warszawa,PL,pm,remote,mid,52.2294024,20.9835532,2023-04-06,TRUE,TRUE,b2b,14000,21000,pln,Scrum,PSM II,Scrum Master
Java Back-end Developer,Warszawa,PL,java,partly_remote,mid,52.2303816,20.9813668,2023-04-06,TRUE,TRUE,b2b,14000,23000,pln,Spring,Java SE,Java
Data Engineer,Warszawa,PL,data,remote,senior,52.2296756,21.0122287,2023-04-06,TRUE,TRUE,b2b,28560,31920,pln,Azure Data Factory,Azure Data Lake,English
CPQ Salesforce Developer,Wrocław,PL,other,remote,mid,51.1273056,17.0257904,2023-04-06,TRUE,TRUE,b2b,30000,30000,pln,Java,Apex,Salesforce
.Net Developer,Warszawa,PL,net,remote,senior,52.1952245,20.9964389,2023-04-06,TRUE,TRUE,b2b,14000,20000,pln,MS SQL Server,DevExpress,.Net 4.0+
Software Tester with German,Wrocław,PL,testing,remote,mid,51.1011989,17.0410141,2023-04-06,TRUE,TRUE,b2b,13440,18480,pln,Test Automation,Manual Testing,German
Flutter Developer,Gliwice,PL,mobile,remote,mid,50.2912092,18.7055382,2023-04-06,TRUE,TRUE,b2b,13440,21840,pln,BLOC,iOS,Flutter
Analityk Techniczny IT,Warszawa,PL,other,partly_remote,mid,52.2300715,20.9857747,2023-04-06,TRUE,TRUE,permanent,10000,17000,pln,Red Hat,Docker,Kubernetes
Analityk systemowy,Warszawa,PL,analytics,remote,mid,52.2294024,20.9835532,2023-04-06,FALSE,TRUE,b2b,8000,15000,pln,BPMN,Confluence,JIRA
Power BI Developer,Warszawa,PL,analytics,remote,mid,52.2302091,21.0113922,2023-04-06,TRUE,TRUE,b2b,18500,25000,pln,SSRS,SSAS,Power BI
Magento Developer (regular/senior),Wrocław,PL,php,remote,mid,51.1011989,17.0410141,2023-04-06,TRUE,TRUE,b2b,13440,26880,pln,Git,Magento,PHP
PHP Developer,Poznań,PL,php,remote,mid,52.4144332,16.9641736,2023-04-06,TRUE,TRUE,b2b,10000,15000,pln,SQL,Yii,PHP
PHP Developer,Poznań,PL,php,remote,senior,52.4144332,16.9641736,2023-04-06,TRUE,TRUE,b2b,15000,20000,pln,Docker,Yii,PHP
Software Engineer,Kraków,PL,php,partly_remote,mid,50.0646501,19.9449799,2023-04-06,TRUE,TRUE,b2b,19000,20000,pln,Go,Ruby,PHP
Project Manager Oracle Enterprise Apps,Kraków,PL,pm,remote,mid,50.0646501,19.9449799,2023-04-06,FALSE,TRUE,b2b,23520,25200,pln,Planning Management,data migration,System implementation
DevOps Engineer,Szczecin,PL,devops,office,junior,53.4606602,14.5906632,2023-04-06,TRUE,TRUE,permanent,5000,7000,pln,API,Azure DevOps,English
Frontend Developer (Angular),Katowice,PL,javascript,remote,mid,50.2648919,19.0237815,2023-04-06,FALSE,TRUE,b2b,18000,25000,pln,Node.js,Angular,TypeScript
BAU MLC Support,Warszawa,PL,support,partly_remote,mid,52.2322584,20.9842694,2023-04-06,FALSE,TRUE,permanent,15000,23000,pln,English,MLC,Murex
Python Developer,Warszawa,PL,python,remote,mid,52.2324965,20.9925446,2023-04-06,FALSE,TRUE,b2b,15000,20000,pln,Docker,HTTP,Python
.NET Developer,Gdańsk,PL,net,remote,mid,54.3520252,18.6466384,2023-04-06,TRUE,TRUE,b2b,12800,17760,pln,ASP.NET MVC,C#,.Net
Backend .NET Developer,Warszawa,PL,net,remote,senior,52.2324965,20.9925446,2023-04-06,TRUE,TRUE,permanent,17000,21000,pln,RabbitMQ,C#,.Net
Automation Tester (Python),Warszawa,PL,testing,remote,mid,52.2300626,21.0037537,2023-04-06,TRUE,TRUE,b2b,19000,23000,pln,Git,Robot Framework,Python
Manual Tester (WEB & MOBILE),Warszawa,PL,testing,partly_remote,mid,52.1554317,21.0178126,2023-04-06,TRUE,TRUE,b2b,14000,17500,pln,Postman,Youtrack,JIRA
MID/Senior Software Engineer (Node.js),Warszawa,PL,javascript,partly_remote,mid,52.1836762,20.9953747,2023-04-06,FALSE,TRUE,permanent,12000,22000,pln,Git,Jest,Node.js
Junior Marketing Data Analyst 📊,Gdańsk,PL,analytics,office,junior,54.3524743,18.6382629,2023-04-06,FALSE,TRUE,b2b,7200,10850,pln,Marketing analytics,SQL,Google Analytics
React Regular,Gdańsk,PL,javascript,remote,mid,54.380333,18.6069192,2023-04-06,TRUE,TRUE,b2b,13500,16500,pln,Redux,React,Front-End
Murex Technical Analyst,Warszawa,PL,analytics,partly_remote,mid,52.2322584,20.9842694,2023-04-06,FALSE,TRUE,permanent,15000,23000,pln,KornShell,Oracle,Murex
Data Analyst,Warszawa,PL,data,remote,senior,52.223285,20.9815165,2023-04-06,TRUE,TRUE,b2b,18480,21840,pln,Analytical Thinking,SQL,Tableau
Junior Java Developer,Warszawa,PL,java,partly_remote,junior,52.2296756,21.0122287,2023-04-06,TRUE,TRUE,b2b,10080,10920,pln,SQL,Maven,Java
Senior Microsoft365 Administrator,Warszawa,PL,admin,remote,senior,52.2226842,20.9793779,2023-04-06,TRUE,TRUE,b2b,21840,26880,pln,SharePoint,ms teams,MS365
Junior Solutions Engineer,Wrocław,PL,javascript,office,junior,51.1186732,16.9971058,2023-04-06,FALSE,TRUE,permanent,5000,5500,pln,Ruby on Rails,JavaScript,Communication Skills
Senior Java/Python Developer,Warszawa,PL,java,remote,senior,52.2296756,21.0122287,2023-04-06,TRUE,TRUE,b2b,22000,30000,pln,Docker,Python,Java
Data Engineer,Gliwice,PL,python,remote,mid,50.2943988,18.6683398,2023-04-06,TRUE,TRUE,b2b,12000,20000,pln,Git,SQL,Python
Murex Technical BA,Warszawa,PL,other,partly_remote,mid,52.2322584,20.9842694,2023-04-06,FALSE,TRUE,permanent,15000,23000,pln,Bank's Systems architecture,MxML trade representation,Murex
Murex Developer,Warszawa,PL,other,partly_remote,mid,52.2322584,20.9842694,2023-04-06,FALSE,TRUE,permanent,15000,23000,pln,Oracle,DataMart,Murex
Big Data Engineer with Scala,Kraków,PL,data,partly_remote,mid,50.0646501,19.9449799,2023-04-06,FALSE,TRUE,permanent,15000,18900,pln,Azure/AWS,Scala,Apache Spark
Data Engineer,Wrocław,PL,data,remote,mid,51.1078852,17.0385376,2023-04-06,TRUE,TRUE,b2b,20000,25000,pln,Big Data,Spark,Java
Analityk Biznesowy IT,Warszawa,PL,analytics,partly_remote,mid,52.2264093,21.0005456,2023-04-06,TRUE,TRUE,b2b,8000,11000,pln,ETL,SQL,Analiza Biznesowa
Mid React Developer,Warszawa,PL,javascript,remote,mid,52.2323755,20.9927578,2023-04-06,TRUE,TRUE,b2b,18000,20160,pln,SASS,CSS,ReactJS
Java Developer,Warszawa,PL,java,remote,mid,52.2233908,21.0149474,2023-04-06,TRUE,TRUE,b2b,12000,18000,pln,Spring,Git,SQL
Delivery Manager,Warszawa,PL,pm,remote,senior,52.2302091,21.0113922,2023-04-06,TRUE,TRUE,b2b,20000,25000,pln,Portfolio Management,Delivery Management,Client Management
QA Automation Tester,Gdańsk,PL,testing,remote,mid,54.3838996,18.5928221,2023-04-06,TRUE,TRUE,b2b,12936,23520,pln,Azure DevOps,Selenide,Selenium WebDriver
Senior C++ Engineer,Wrocław,PL,c,remote,senior,51.1078852,17.0385376,2023-04-06,FALSE,TRUE,b2b,16000,29000,pln,GCP,Computer science,C++
Blockchain Developer,Gdynia,PL,python,partly_remote,mid,54.4917961,18.5341297,2023-04-06,TRUE,TRUE,permanent,12000,24000,pln,Rust,C++,Python
Senior Software Developer with German,Kraków,PL,net,remote,senior,50.0646501,19.9449799,2023-04-06,FALSE,TRUE,permanent,19319,30358,pln,Java,ReactJS,.Net
#Java Developer z #microserwisami,Warszawa,PL,java,remote,mid,52.2356032,20.9826264,2023-04-06,TRUE,TRUE,b2b,20000,25000,pln,REST,Microservices,Java
Programista PHP,Katowice,PL,php,partly_remote,mid,50.248331,18.999897,2023-04-06,TRUE,TRUE,b2b,7000,14000,pln,CSS3,HTML5,PHP 5/7
Splunk Security Platform Engineer,Wrocław,PL,security,remote,senior,51.1078852,17.0385376,2023-04-06,TRUE,TRUE,b2b,48720,50000,pln,TCP/IP,Splunk Enterprise Securit,Splunk
QA Team Leader,Wrocław,PL,testing,remote,senior,51.1203446,17.0183971,2023-04-06,TRUE,TRUE,b2b,13500,17000,pln,Gherkin,Cypress,JavaScript
Software Engineer,Kraków,PL,java,partly_remote,mid,50.0646501,19.9449799,2023-04-06,TRUE,TRUE,b2b,20000,21000,pln,Pyhton,TypeScript,Java
Salesforce Developer,Wrocław,PL,other,remote,senior,51.1238066,16.9887294,2023-04-06,TRUE,TRUE,b2b,19000,24000,pln,Lightning,Apex,Salesforce
Senior/Lead .NET Engineer,Kraków,PL,net,partly_remote,senior,50.0646501,19.9449799,2023-04-06,FALSE,TRUE,b2b,15500,24000,pln,Solid,C#,Microsoft technologies
Appian Developer,Warsaw,PL,other,remote,mid,52.2296756,21.0122287,2023-04-06,TRUE,TRUE,b2b,21000,25000,pln,BPM,SQL,Appian
Senior Data Engineer - Curated Sales Data,Kraków,PL,data,partly_remote,senior,50.0646501,19.9449799,2023-04-06,TRUE,TRUE,b2b,21100,24100,pln,Databricks,Spark,Apache Spark
QA Engineer,Gliwice,PL,testing,partly_remote,mid,50.2883904,18.6358869,2023-04-06,TRUE,TRUE,b2b,8000,11500,pln,Appium,Python,REST
Senior Java Developer with German,Wrocław,PL,java,remote,senior,51.1011989,17.0410141,2023-04-06,TRUE,TRUE,b2b,21840,26880,pln,Unit Testing,German,Java
C++ Developer,Warsaw,PL,c,partly_remote,junior,52.1378544,21.0291229,2023-04-06,TRUE,TRUE,b2b,13440,15456,pln,OpenCV,STL,C++11
Senior Backend Engineer (Golang),Kraków,PL,go,partly_remote,senior,50.0444582,19.9520339,2023-04-06,TRUE,TRUE,b2b,20000,30000,pln,Elasticsearch,Microservices,Go/C/C++/Python
Java Tech Lead,Lublin,PL,java,partly_remote,senior,51.2486981,22.518223,2023-04-06,TRUE,TRUE,b2b,25200,29400,pln,Docker,Spring,Java
Front-end Developer -  React.js / Gatsby,Ostrów Wielkopolski,PL,javascript,remote,mid,51.6413836,17.8175367,2023-04-06,TRUE,TRUE,b2b,5500,10000,pln,JavaScript,ReactJS,React
AUTOMATION DEVELOPER,Poznań,PL,admin,partly_remote,mid,52.4222748,16.946731,2023-04-06,TRUE,TRUE,permanent,6850,11251,pln,Power Aps,Power Automate,Power Platform
Independent QA Engineer,Bielsko-Biała,PL,testing,office,mid,49.818003,19.044149,2023-04-06,FALSE,TRUE,b2b,5600,8800,pln,Test Cases,QA,English
Django Developer,Kraków,PL,python,partly_remote,senior,50.064275,19.9458362,2023-04-06,FALSE,TRUE,b2b,20000,27000,pln,Git,Docker,Django
Senior Full Stack Developer with .NET,Warszawa,PL,javascript,partly_remote,senior,52.2283939,20.9976441,2023-04-06,TRUE,TRUE,permanent,17000,25000,pln,Angular,.NET Core,C#
SAP Integration Support Engineer,Warszawa,PL,support,remote,mid,52.2186352,20.993722,2023-04-06,TRUE,TRUE,b2b,17000,26000,pln,English,SAP BTP Cloud Integration (CPI),SAP Process Integration 7.5
Java Developer,Warszawa,PL,java,remote,mid,52.1862358,20.9504438,2023-04-06,TRUE,TRUE,b2b,12000,22000,pln,PostreSQL,Java,English
Programista .NET,Poznań,PL,erp,office,mid,52.4562109,16.8765759,2023-04-06,FALSE,TRUE,b2b,10000,17000,pln,WCF,WinForms,C#
Programista .NET,Poznań,PL,net,office,mid,52.4562109,16.8765759,2023-04-06,FALSE,TRUE,b2b,10000,17000,pln,WCF,WinForms,C#
ServiceNow Consultant (Javascript),Warszawa,PL,javascript,partly_remote,mid,52.1822197,21.0032083,2023-04-06,TRUE,TRUE,permanent,11000,18000,pln,CSS,ServiceNow,JavaScript
Senior Software Engineer (Java),Warszawa,PL,java,remote,senior,52.2302091,21.0113922,2023-04-06,TRUE,TRUE,b2b,27000,32000,pln,Distributed systems,Testing,Java
Fullstack JavaScript Engineer with React,Wrocław,PL,javascript,remote,senior,51.1124203,16.9942438,2023-04-06,FALSE,TRUE,b2b,18480,26880,pln,Node.js,TypeScript,JavaScript
Software Test Engineer,Szczecin,PL,testing,partly_remote,mid,53.4606602,14.5906632,2023-04-06,TRUE,TRUE,permanent,9000,15000,pln,Azure DevOps,TFS,ISTQB
DevOps,Poznań,PL,devops,remote,mid,52.410498,16.9403123,2023-04-06,TRUE,TRUE,permanent,10000,13000,pln,CI/CD,Kubernetes,Docker
Senior Full Stack Developer with .NET,Warszawa,PL,devops,partly_remote,senior,52.2283939,20.9976441,2023-04-06,TRUE,TRUE,permanent,17000,25000,pln,Angular,.NET Core,C#
DevOps Engineer,Kraków,PL,devops,remote,mid,50.0327904,19.9378865,2023-04-06,TRUE,TRUE,b2b,14400,18000,pln,Scripting,CI/CD (Gitlab),Azure
Frontend React Developer,Warszawa,PL,javascript,remote,junior,52.2289327,20.9146902,2023-04-06,TRUE,TRUE,b2b,6000,10000,pln,Scrum,JavaScript,React
Node.js Developer,Leszno,PL,javascript,remote,mid,51.8302247,16.5969379,2023-04-06,TRUE,TRUE,b2b,10000,15000,pln,SQL,Node.js,TypeScript
Tester Oprogramowania Junior/Regular,Sopot,PL,testing,remote,mid,54.4335624,18.5623758,2023-04-06,TRUE,TRUE,permanent,5000,10000,pln,Git,MS SQL,PostgreSQL
Senior Web Scraper,Warszawa,PL,java,remote,senior,52.1316275,21.0660057,2023-04-06,FALSE,TRUE,b2b,20000,24000,pln,PHP,Python,WebScraping
Lead Java Developer (Multithreaded),Warszawa,PL,java,partly_remote,senior,52.2322584,20.9842694,2023-04-06,FALSE,TRUE,permanent,18000,24000,pln,Data Structures,Algorithms,Java
Senior / Lead Java Developer,Gdańsk,PL,java,office,senior,54.3520252,18.6466384,2023-04-06,TRUE,TRUE,b2b,18816,30240,pln,Spring Boot,Spring,Java 11
QA Specialist,Poznań,PL,testing,remote,mid,52.4141782,16.920084,2023-04-06,TRUE,TRUE,b2b,8700,11500,pln,Postman,Cypress,Selenium
Junior Manual Tester,Gdańsk,PL,testing,partly_remote,junior,54.4035824,18.5709355,2023-04-06,TRUE,TRUE,b2b,6100,9500,pln,Writing Test Scenarios,Bugs Reporting,Web Applications
Backend PHP Developer,Warszawa,PL,php,remote,mid,52.2335227,21.0395941,2023-04-06,TRUE,TRUE,b2b,12000,20000,pln,SQL,Symfony 4,PHP
.Net Developer,Warszawa,PL,net,partly_remote,mid,52.1802255,20.9870419,2023-04-06,TRUE,TRUE,b2b,20160,25200,pln,Entity Framework,.Net,C#
Embedded Software Engineer,Sokołów,PL,c,partly_remote,senior,52.1437701,20.8639278,2023-04-06,FALSE,TRUE,b2b,19200,25600,pln,Git,C++,C
IT Specialist,Wrocław,PL,support,office,mid,51.1113813,17.0256784,2023-04-06,TRUE,TRUE,b2b,8000,13000,pln,AD,WAN,LAN
IT Specialist,Wrocław,PL,other,office,mid,51.1113813,17.0256784,2023-04-06,TRUE,TRUE,b2b,8000,13000,pln,AD,WAN,LAN
Junior IT Specialist,Wrocław,PL,support,office,junior,51.1113813,17.0256784,2023-04-06,TRUE,TRUE,b2b,5000,8000,pln,Windows Server,WAN,LAN
Junior IT Specialist,Wrocław,PL,other,office,junior,51.1113813,17.0256784,2023-04-06,TRUE,TRUE,b2b,5000,8000,pln,Windows Server,WAN,LAN
Tester (hybrid),Warszawa,PL,testing,partly_remote,mid,52.2344789,20.9876817,2023-04-06,TRUE,TRUE,permanent,7500,14000,pln,SQL,Manual Testing,JIRA
Kotlin/Java to Kotlin Developer,Kraków,PL,java,partly_remote,mid,50.0730124,19.945507,2023-04-06,TRUE,TRUE,b2b,16200,21000,pln,Kotlin,JVM,Java
Programista C++ w sektorze kosmicznym,Poznań,PL,python,remote,mid,52.4549995,16.9560486,2023-04-06,TRUE,TRUE,b2b,10000,15000,pln,STL,C++17,C++
Android Developer,Warszawa,PL,mobile,remote,mid,52.2325137,20.9824266,2023-04-06,TRUE,TRUE,b2b,20000,30000,pln,Kotlin,Android,Polish
AWS DevOps Mid Engineer- Remote/Wroclaw,Wrocław,PL,devops,remote,mid,51.1171502,17.0225176,2023-04-06,TRUE,TRUE,b2b,12000,18000,pln,Terraform,AWS,Docker
Senior Software Development Engineer,Kraków,PL,javascript,partly_remote,senior,50.0606078,19.9742952,2023-04-06,FALSE,TRUE,b2b,22000,30000,pln,GitHub,TypeScript,Java
